place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2202,10050.56356,308,3280.711481,711,83833.70925,338191,15654704.76
ชัยนาท,12,19.8,2,2,0,0,1537,11753.47587
นครปฐม,120,162.705,19,33,30,203,15884,163206.5131
นนทบุรี,437,588.03,53,77.595,100,1300.3591,55077,635113.116
ปทุมธานี,370,475.381,38,58.65,94,957.0803,48168,702075.0694
พระนครศรีอยุธยา,73,136.805,12,22.2,20,341.6,11207,245722.8708
ลพบุรี,28,31.3,0,0,7,17.184,3863,22073.14192
สมุทรปราการ,402,779.5,56,78.807599,120,6156.3026,55752,1119998.251
สมุทรสาคร,125,232.2,29,125.7,41,606.419,19423,259018.7544
สระบุรี,63,100.6,6,9.6,13,47.6363,7862,115451.6676
สิงห์บุรี,8,12,1,0.4,1,2,1155,10125.0858
อ่างทอง,11,12.6,3,7,1,1,1488,9328.18785
กาญจนบุรี,52,64.7,7,10.4,9,121.6,5180,37565.40641
ประจวบคีรีขันธ์,47,72.74,12,28,13,65.8,7267,34811.09683
เพชรบุรี,31,56.7,8,11.9,6,124.5,3473,36393.55088
ราชบุรี,56,100.15,13,22.505,17,295.85,6718,66464.64428
สมุทรสงคราม,10,11,4,2,0,0,1445,8596.47688
สุพรรณบุรี,56,63,5,9.2,8,41.4,4944,26349.1544
จันทบุรี,43,95.2,1,0.5,15,81,3954,32054.91125
ฉะเชิงเทรา,81,150.915,5,7,17,2093.2,8411,233222.3742
ชลบุรี,664,1558.502,74,587.59,178,2776.98623,74867,1054257.457
ตราด,7,7.15,7,14,2,20,1581,8390.296565
นครนายก,12,19.4,0,0,2,11.4,1693,14750.70823
ปราจีนบุรี,36,154.59,11,57.5,12,1749.263,4734,246122.1975
ระยอง,158,772.3025,13,20.5,72,3157.1751,19013,911256.1596
สระแก้ว,23,48.21,5,3.7,4,22.9,2691,13154.03729
กระบี่,40,60.028295,5,9.25,11,44,4596,33342.04805
ชุมพร,23,26.9,0,0,9,25.6,2832,16845.17217
ตรัง,21,18.16,4,11.5,7,17.5,2962,23270.14948
นครศรีธรรมราช,62,73.9,6,9,7,34.4,7324,34211.63476
นราธิวาส,11,9.3,1,0.1,1,5,1785,8615.998942
ปัตตานี,9,18,1,2,3,8,1797,9759.057162
พังงา,34,62.8082,0,0,2,2.1,2266,19490.37729
พัทลุง,16,24.5,2,2,0,0,2178,5827.997181
ภูเก็ต,237,498,37,117.935,78,741.375,31840,238405.8931
ยะลา,9,12.035,1,1.01,10,47.55,1908,12389.6878
ระนอง,11,19.3,2,6,3,25.5,1288,11865.34782
สงขลา,113,157.99498,9,8.98,19,92.58,13954,136981.7423
สตูล,4,3.11,1,0.3,1,2,1001,4408.80065
สุราษฎร์ธานี,193,388.25045,18,42.9,43,193.4186,25571,125173.6719
กำแพงเพชร,23,29.51,5,2.122,3,5.5,3007,19495.64328
เชียงราย,133,178.648878,20,36.26,44,2026.5078,9598,55771.20359
เชียงใหม่,324,464.111,67,144.425,65,217.06,32938,218336.3681
ตาก,47,63.861,7,31.5,8,45,3204,14354.19865
นครสวรรค์,54,61.383,15,55,13,45.8,5438,48368.64508
น่าน,19,27.6,11,18,2,2.17,2160,6199.35915
พะเยา,25,21.8,12,13.03,7,15.29,2347,6357.267623
พิจิตร,17,24.5,5,4.3,2,2,2220,12742.52201
พิษณุโลก,42,56.645,2,3,5,4.42,5773,24887.23435
เพชรบูรณ์,36,39.6,5,2.6,8,32.4,3509,17794.04903
แพร่,12,15.25,2,1.3,0,0,2044,8571.431423
แม่ฮ่องสอน,3,6.3,5,12,2,6.1,752,1818.9482
ลำปาง,50,71,4,2.55,7,24.1,4596,20064.08701
ลำพูน,40,66.62,12,14.75,5,178.8,3742,41684.69272
สุโขทัย,14,16.21,5,8.01,2,4,1913,18998.28225
อุตรดิตถ์,31,88.799999,1,0.1,6,261,1827,14484.36976
อุทัยธานี,9,9.71,2,1,2,2.95,1087,7265.117729
กาฬสินธุ์,21,28.250015,5,6.251,3,13,2860,10841.21473
ขอนแก่น,137,218,34,44,20,110.6,13704,103554.3752
ชัยภูมิ,39,52.377,3,6.8,4,4.2,3951,15576.00981
นครพนม,18,18.412,4,7.049999,1,1,2375,7035.468248
นครราชสีมา,152,201.1605,11,23,33,83.75,17305,182304.9462
บึงกาฬ,10,13.3,2,3,3,3,1335,3273.260399
บุรีรัมย์,42,59.37,8,13.107,2,7,5107,267423.213
มหาสารคาม,24,24.417,7,5.45,3,13,3484,12968.50061
มุกดาหาร,10,12.2,6,6.5,1,2.5,1750,13427.52128
ยโสธร,8,13.1,3,5,1,1.5,1881,8910.462664
ร้อยเอ็ด,39,61.41,3,6.2,4,6.5,4400,23615.43358
เลย,10,7.9,15,29.92,5,10.75,2418,9579.790763
ศรีสะเกษ,33,41.51,4,4.1,4,12,3641,15625.08253
สกลนคร,38,48.5,9,14,1,2,3754,14298.8495
สุรินทร์,24,28,4,2.7,3,11,4302,23229.91583
หนองคาย,23,22.499999,2,2,5,9,2593,10359.6298
หนองบัวลำภู,11,20.5,8,7.5,0,0,1519,14014.21796
อำนาจเจริญ,9,27.6,3,2.25,1,2,1238,3796.637702
อุดรธานี,85,104.88,13,20.169,11,77.7,8559,41209.82237
อุบลราชธานี,66,106.5,8,3.34,9,36.6,7761,54392.96152
