place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,1825,13859.4419,259,2822.409,637,42777.66737,339626,15530415.05
ชัยนาท,6,12,2,2,2,49.1,1541,11811.62587
นครปฐม,117,189.521,11,20.3,27,118.64,15993,163460.3741
นนทบุรี,380,1081.215,49,480.73,68,853.34066,55399,636300.828
ปทุมธานี,308,415.89,40,70.7,67,1118.141452,48445,702298.9747
พระนครศรีอยุธยา,84,114.9,12,17.1,15,164.0666,11275,246047.9023
ลพบุรี,28,36.608,4,2.1,8,14.52,3884,22084.90592
สมุทรปราการ,343,614.636,43,198.912,95,5235.722235,56053,1303397.059
สมุทรสาคร,113,184.6,20,62.4,41,694.571288,19522,259120.9912
สระบุรี,46,97.409999,7,8.6,4,132.5068,7902,115689.4844
สิงห์บุรี,9,12.3,1,5,0,0,1164,10131.9858
อ่างทอง,13,48.07,1,0.1,0,0,1501,9377.15785
กาญจนบุรี,22,23.91,4,7,5,32.4,5203,37664.81641
ประจวบคีรีขันธ์,46,85.41,21,248.415,4,14.5,7282,34625.69183
เพชรบุรี,23,32.45,7,6.15,6,49.1,3489,36470.75088
ราชบุรี,72,100.15,2,2.2,6,197,6788,66751.09428
สมุทรสงคราม,8,14.8,0,0,3,65.85,1451,8677.42688
สุพรรณบุรี,37,53.613111,4,2.13,5,12,4976,26386.93751
จันทบุรี,41,75.1,3,7.5,4,49,3998,32192.51125
ฉะเชิงเทรา,54,85.85,4,5,20,220.59,8465,233751.8017
ชลบุรี,556,1597.9301,40,97.45,184,6101.89066,75426,1061630.099
ตราด,10,20.1,7,16.8,0,0,1585,8394.596565
นครนายก,18,32.1,3,4.8,0,0,1708,14777.00823
ปราจีนบุรี,24,34.1,9,109.5,8,1687.95,4749,247732.7475
ระยอง,150,462.31,15,228.7784,46,2645.4979,19166,901241.5927
สระแก้ว,14,21.7,8,12.6,2,1.7,2700,13121.33729
กระบี่,25,46.5,8,21.06,8,123.7,4609,33483.28805
ชุมพร,29,40.15,3,10,3,14.5,2857,16889.32217
ตรัง,11,14.2,2,0.2209,3,6.78,2972,23281.42858
นครศรีธรรมราช,64,104.42,6,4.6,5,19.9,7383,34333.65476
นราธิวาส,16,148.53,0,0,1,20,1799,8718.028942
ปัตตานี,21,42.5,1,1,4,9.4,1818,9810.557162
พังงา,15,28.3,4,7,5,5.2,2281,19522.37729
พัทลุง,16,13.3,0,0,4,11.7,2192,5850.097181
ภูเก็ต,199,443.32,38,123.6,59,1609.15,32016,240368.7931
ยะลา,12,14.1,3,8,2,5.5,1920,12409.2878
ระนอง,11,15.1,3,3.3,3,15.55,1294,11890.89782
สงขลา,108,178.574,10,9.9,25,274.9,14056,136511.4263
สตูล,18,25.35,2,2,2,42,1010,4463.15065
สุราษฎร์ธานี,175,374.398888,17,36.1,34,169.88,25736,125549.2407
กำแพงเพชร,22,35.041,1,1,1,4,3029,19533.43429
เชียงราย,74,111.722,23,39.2,8,29.7,9646,55836.87559
เชียงใหม่,261,372.534,64,109.55,42,547.5378,33144,219099.1599
ตาก,31,42.2,4,7.5,3,8,3223,14388.99865
นครสวรรค์,45,53.65,16,28.6,9,33.5,5465,48442.69508
น่าน,12,13.4,7,8.1,4,5.42,2164,6208.07915
พะเยา,15,14.81,7,6.05,2,2.95,2354,6368.477623
พิจิตร,16,19.6,4,5.2,5,12.5,2236,12783.67201
พิษณุโลก,45,81,8,12.17,4,19.55,5812,24883.11435
เพชรบูรณ์,15,21.9,9,10.6,3,24.5,3514,17808.74903
แพร่,8,11.05,2,1.4,0,0,2047,8579.381423
แม่ฮ่องสอน,4,8.2,2,0.6,1,1,757,1833.5482
ลำปาง,32,53.2,7,17.5,9,36.32,4622,20138.40701
ลำพูน,28,37.9,7,89,3,14,3764,41650.14272
สุโขทัย,13,9.65,2,3,2,4.667778,1924,19008.60003
อุตรดิตถ์,16,17.3,7,5.8,3,8.5,1830,14493.84476
อุทัยธานี,11,18.7,0,0,1,10,1101,7299.817729
กาฬสินธุ์,21,37.6,6,13.1,3,13.48,2879,10880.41473
ขอนแก่น,123,143.479,18,28,17,40.9,13815,103716.5292
ชัยภูมิ,38,55.85,3,2.01,7,554.3,3983,16166.14981
นครพนม,20,27.1,5,6.5,4,11.6985,2391,7069.468248
นครราชสีมา,131,228.650988,19,17.7,19,221.7,17416,182537.0972
บึงกาฬ,11,14.3,0,0,1,1,1345,3283.560399
บุรีรัมย์,43,39.85,10,17.1,4,16,5139,267490.963
มหาสารคาม,37,54.1,5,8.9,0,0,3516,13013.02461
มุกดาหาร,11,19.1,6,4.51,6,27.1,1757,13472.11128
ยโสธร,14,17.4,6,10.1,1,4,1887,8905.262664
ร้อยเอ็ด,30,33.45,2,2,10,253.07131,4427,23892.32409
เลย,12,18.7,22,27.85,2,5.2,2406,9574.640763
ศรีสะเกษ,16,26.9,3,16.2,6,47.1,3654,15683.68253
สกลนคร,32,35.34,5,8.3,2,9.1,3781,14323.1895
สุรินทร์,22,32.91,4,7.5,6,131.49,4321,23357.81583
หนองคาย,25,31.905,5,15.5,5,5.6,2610,10353.1348
หนองบัวลำภู,9,6.306,3,3,1,5,1525,14022.52396
อำนาจเจริญ,9,20,0,0,2,10.95,1247,3827.587702
อุดรธานี,69,109.3,10,9.8,10,32.258151,8615,41344.43052
อุบลราชธานี,66,95.951,6,5.4,7,28.01,7818,54513.52252
