place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2217,5974.53,173,639.35,668,153898.14,336478,15568352.25
ชัยนาท,14,12,2,2,0,0,1524,11727.57587
นครปฐม,117,241.2172,12,15.05,28,226.32,15776,163862.9381
นนทบุรี,471,633.370642,47,81.73,78,240.3926,54706,632387.5562
ปทุมธานี,364,500.1618,34,48.895,84,582.1182,47776,699770.7487
พระนครศรีอยุธยา,81,126.55,8,17.6,23,1080.5005,11143,244403.028
ลพบุรี,21,26.8,,0,5,9.998,3836,22008.65792
สมุทรปราการ,379,616.685,47,83.47,102,2893.320828,55373,1126810.721
สมุทรสาคร,124,189.8,26,51.6,42,433.09,19343,258480.0854
สระบุรี,47,61.06,4,11.1,11,211.4,7806,115405.0713
สิงห์บุรี,7,8,,0,2,25,1151,10121.4858
อ่างทอง,14,25.55,5,2.48,1,64.35,1470,9202.08785
กาญจนบุรี,53,77.8,12,35.1,11,80.5,5139,37850.40641
ประจวบคีรีขันธ์,72,122.035,6,13.8,13,69.43,7231,34678.41683
เพชรบุรี,24,38.52,8,7,3,19.001,3446,36215.27088
ราชบุรี,43,45.350005,10,23.5,7,124.5,6674,66234.44928
สมุทรสงคราม,7,16.3,,0,2,14,1436,8585.27688
สุพรรณบุรี,36,41.7,7,6.2,7,43.82,4895,26291.0544
จันทบุรี,34,45.4,5,11.9,1,1,3915,31872.21125
ฉะเชิงเทรา,58,100.765,4,7.6,16,268.6037,8329,231151.2485
ชลบุรี,549,1428.725,63,376.5,163,3576.709,74275,1049083.513
ตราด,14,26.2,4,8.5,5,11.4,1580,8055.146565
นครนายก,13,16.8,,0,5,13.9,1681,14712.30823
ปราจีนบุรี,42,64.27,2,2,18,4031.158,4707,244931.6545
ระยอง,152,315.36,27,55.7,66,7761.37392,18840,906676.9385
สระแก้ว,23,32.1,5,7.06,3,22,2676,13101.72729
กระบี่,54,82.3,8,14.8,12,70.5,4566,32453.76975
ชุมพร,23,26.9,3,3.8,2,4,2806,16688.32217
ตรัง,12,17.05,3,2.5,3,10.8,2945,23246.48948
นครศรีธรรมราช,39,64.8,7,9.4,16,38.665,7267,34096.33476
นราธิวาส,10,25,2,1.5,2,4.5,1776,8604.798942
ปัตตานี,14,12.4,1,1,3,43.05,1787,9733.057162
พังงา,16,18.7,,0,2,2.1,2230,19464.96909
พัทลุง,20,28.28,6,10,3,8,2167,5807.997181
ภูเก็ต,207,491.398888,43,119.2,53,275.52,31640,237189.4731
ยะลา,12,15.05,1,1,5,21.7,1899,12327.1128
ระนอง,9,9.42,2,3,3,5,1289,11843.90783
สงขลา,101,146.6,6,6.9,22,298.1,13853,136940.5773
สตูล,5,4.5,1,100,2,8.75,1000,4409.99065
สุราษฎร์ธานี,195,446.601,24,68.5,59,468.63,25379,124598.3658
กำแพงเพชร,22,21.95,1,1,2,13,2987,19464.75529
เชียงราย,78,114.22,10,12,13,155.7,9496,53645.89441
เชียงใหม่,312,524.7556,51,87.95,41,158.5,32667,218061.4611
ตาก,38,62.65,3,2.5,7,10.74,3170,14305.98765
นครสวรรค์,56,69.2,16,50.4,11,76.75,5405,48343.36208
น่าน,18,18.066,1,1,1,0.2,2152,6183.88915
พะเยา,18,25,2,2,2,8.5,2336,6333.857623
พิจิตร,17,150.3,8,13.5,2,1.5,2206,12705.83201
พิษณุโลก,52,66.11,6,34.1,6,13.325,5733,24889.41935
เพชรบูรณ์,31,69.8,5,13,3,7,3477,17718.64903
แพร่,14,14.7,1,1,4,6.5,2037,8563.181423
แม่ฮ่องสอน,4,5,3,5.16,4,10.2,756,1823.6482
ลำปาง,53,66.26,11,19.5,9,40.1,4552,19986.52201
ลำพูน,22,62.11,10,31.12,5,20,3711,41446.03772
สุโขทัย,14,17.7,4,2.1,6,16.8,1904,18983.08225
อุตรดิตถ์,17,14.75,,0,2,24,1800,14144.41976
อุทัยธานี,9,15,3,4,,0,1082,7259.557729
กาฬสินธุ์,25,37.08,6,28.05,2,8,2835,10793.66572
ขอนแก่น,126,183.52,17,27.552425,19,59.4878,13605,103337.9652
ชัยภูมิ,38,71.9,3,11,3,7,3906,15498.33881
นครพนม,14,26.6,4,3.5,2,31,2361,7023.106247
นครราชสีมา,140,291.2,11,21.3,23,45.84,17145,182163.9857
บึงกาฬ,16,21.6,,0,2,63,1326,3259.660399
บุรีรัมย์,43,54.82,13,18.71,4,16,5076,267390.85
มหาสารคาม,28,45.95,4,2.13,2,6,3467,12768.53361
มุกดาหาร,9,9.55,4,213.5,2,2.2,1743,13416.57128
ยโสธร,15,18.4,,0,2,20.9,1877,8900.662664
ร้อยเอ็ด,40,66.45,9,13.1,10,60.1,4371,23608.02358
เลย,14,19.26789,8,9.8,1,150,2421,9587.360763
ศรีสะเกษ,22,23.55,4,4,2,11,3614,15577.67253
สกลนคร,21,36.35,9,11.9,2,8,3727,14262.3495
สุรินทร์,27,50.8,5,4.5,4,11.545,4279,23190.61583
หนองคาย,21,19.05,5,7.7,2,6,2575,10323.1298
หนองบัวลำภู,5,5.3,4,6.7,1,4,1517,14010.21796
อำนาจเจริญ,8,11.2,,0,1,2,1231,3765.487702
อุดรธานี,62,88.45,10,16,10,31.25,8484,46058.68137
อุบลราชธานี,77,126.31975,4,3.37,12,70.4,7709,54279.20152
