province,month,objective,p_esta,m_esta
กรุงเทพมหานคร,มกราคม,ขายส่ง/ขายปลีก,791,1322.775
กรุงเทพมหานคร,มกราคม,ผลิต,195,4450.19002
กรุงเทพมหานคร,มกราคม,บริการ,1387,7693.393918
กรุงเทพมหานคร,กุมภาพันธ์,ขายส่ง/ขายปลีก,755,1585.155
กรุงเทพมหานคร,กุมภาพันธ์,ผลิต,205,654.05
กรุงเทพมหานคร,กุมภาพันธ์,บริการ,1257,3735.32255
กรุงเทพมหานคร,มีนาคม,ขายส่ง/ขายปลีก,707,6345.255255
กรุงเทพมหานคร,มีนาคม,ผลิต,214,1235.84
กรุงเทพมหานคร,มีนาคม,บริการ,1281,2469.4683
กรุงเทพมหานคร,เมษายน,ขายส่ง/ขายปลีก,645,2269.86
กรุงเทพมหานคร,เมษายน,ผลิต,144,1192.0839
กรุงเทพมหานคร,เมษายน,บริการ,1036,10397.498
กรุงเทพมหานคร,พฤษภาคม,ขายส่ง/ขายปลีก,0,0.0
กรุงเทพมหานคร,พฤษภาคม,ผลิต,0,0.0
กรุงเทพมหานคร,พฤษภาคม,บริการ,0,0.0
กรุงเทพมหานคร,มิถุนายน,ขายส่ง/ขายปลีก,0,0.0
กรุงเทพมหานคร,มิถุนายน,ผลิต,0,0.0
กรุงเทพมหานคร,มิถุนายน,บริการ,0,0.0
กรุงเทพมหานคร,กรกฎาคม,ขายส่ง/ขายปลีก,0,0.0
กรุงเทพมหานคร,กรกฎาคม,ผลิต,0,0.0
กรุงเทพมหานคร,กรกฎาคม,บริการ,0,0.0
กรุงเทพมหานคร,สิงหาคม,ขายส่ง/ขายปลีก,0,0.0
กรุงเทพมหานคร,สิงหาคม,ผลิต,0,0.0
กรุงเทพมหานคร,สิงหาคม,บริการ,0,0.0
กรุงเทพมหานคร,กันยายน,ขายส่ง/ขายปลีก,0,0.0
กรุงเทพมหานคร,กันยายน,ผลิต,0,0.0
กรุงเทพมหานคร,กันยายน,บริการ,0,0.0
