place,esta,esta_m,quit,quit_m,add_fund,add_fund_m,active,active_m
กทม.,2373,13466.35894,286,11364.9481,631,136231.8067,334602,15437799.77
ชัยนาท,17,21.8,2,2.05,2,4,1513,11725.57587
นครปฐม,138,175.888001,24,47.1,22,412.232,15664,163382.2509
นนทบุรี,469,622.982,89,139.65,82,525.29862,54292,641250.6605
ปทุมธานี,439,699.58,41,52.96,50,1240.222609,47406,698987.6327
พระนครศรีอยุธยา,127,234.42,9,45.71,15,430.7368,11062,243203.3775
ลพบุรี,35,66.9,3,6,5,219.998,3823,21984.85992
สมุทรปราการ,441,674.73,55,88.8,95,7800.6642,55046,1122213.429
สมุทรสาคร,128,235.91,20,42.9,26,324.244,19248,258177.5934
สระบุรี,60,99.2,9,11.33,13,515.374,7755,115129.1613
สิงห์บุรี,13,59.05,1,1,2,9,1144,10088.4858
อ่างทอง,12,17.7,4,3.875,1,4,1460,9109.66785
กาญจนบุรี,56,77.135,11,35.72,4,10.5,5093,37752.05641
ประจวบคีรีขันธ์,64,107.3,1,1,13,29.9,7151,34510.15183
เพชรบุรี,35,200.113,15,19.1,1,14,3427,36159.24988
ราชบุรี,75,138.6,11,32.05,8,67.4,6649,66165.09928
สมุทรสงคราม,12,16.1,1,1,1,0.7,1428,8552.97688
สุพรรณบุรี,48,49.605,3,3,8,69.55,4861,26198.2344
จันทบุรี,34,67.9,3,2.1,6,15.1,3882,31819.71125
ฉะเชิงเทรา,81,196.31,5,5,15,2593.15,8264,231510.6298
ชลบุรี,706,1860.923,67,164.905,189,5573.8756,73773,1045475.059
ตราด,4,10.7,7,9,3,9,1571,8027.046565
นครนายก,12,9.63,4,5,0,0,1667,14676.60823
ปราจีนบุรี,51,148.565,8,14.7,15,574.077,4661,240933.2265
ระยอง,198,861.77,22,39.29,57,2681.6146,18706,892384.12
สระแก้ว,34,38.8,2,4,2,9,2659,13057.68729
กระบี่,56,87.55,5,5,11,79.5,4522,32324.76975
ชุมพร,24,32.5,6,11,0,0,2787,16666.22217
ตรัง,26,84.01,3,8,4,14.5,2933,23219.13948
นครศรีธรรมราช,57,80.8,12,41,9,35,7230,33998.26976
นราธิวาส,14,15.6,1,1,4,12.8,1767,8576.4418
ปัตตานี,13,39.4,7,11.2,1,0.5,1772,9674.837162
พังงา,16,32.6,5,6,4,17.5,2211,19430.36909
พัทลุง,18,21.1,6,18.1,1,2,2154,5772.947181
ภูเก็ต,238,520.55,38,87.12,62,1762.4464,31482,236484.6442
ยะลา,16,109.56,4,12,2,27,1889,12291.8628
ระนอง,10,19.5,4,10.8,1,0.09,1283,11831.48783
สงขลา,113,127.856,42,110.075,20,84.69,13753,136450.6773
สตูล,8,10.3,2,6,,0,994,4493.26065
สุราษฎร์ธานี,237,402.66,27,57.5,46,138.8,25204,123748.2948
กำแพงเพชร,31,49.4,12,20.85,4,13.9,2963,19423.80529
เชียงราย,112,138.465,16,21,33,1705.4,9432,53400.56441
เชียงใหม่,357,541.939998,57,178.49,43,741.19,32392,218578.3225
ตาก,37,53.1,5,5.5,6,9.7,3139,14238.79765
นครสวรรค์,54,142.66,10,10.8,11,25.5,5360,48244.34208
น่าน,17,14.72,7,5.1,3,9,2136,6175.27315
พะเยา,16,17.65,9,6.6,3,9.05,2320,6307.657623
พิจิตร,32,34.619999,3,3.7,6,24.5,2197,12554.63201
พิษณุโลก,59,101.8,11,15,4,103,5690,24856.05935
เพชรบูรณ์,36,47.9,8,28.7,2,4.9,3451,17666.84903
แพร่,19,15.9,7,14.3,,0,2023,8532.481423
แม่ฮ่องสอน,10,13.7,2,4.1,3,5.9,753,1807.5082
ลำปาง,38,37.71,7,11.1,6,16,4505,19905.26201
ลำพูน,40,54.3,4,2,7,51.4,3705,40302.91772
สุโขทัย,25,24.3,2,2,2,8,1895,18955.18225
อุตรดิตถ์,21,16.16,5,3.525,2,3.35,1782,14090.71976
อุทัยธานี,11,10,1,0.1,1,2,1075,7247.557729
กาฬสินธุ์,24,26.55,11,18,2,5.5,2817,10779.63572
ขอนแก่น,192,215.77,25,40.3,20,120.643,13499,103122.8489
ชัยภูมิ,34,37.65,12,20.51,2,4.5,3881,15430.45231
นครพนม,29,35.2,6,4.79,,0,2354,6971.506147
นครราชสีมา,191,200.781,41,155.1,19,565.75,17017,183615.6457
บึงกาฬ,12,25,,0,5,14,1309,3171.060399
บุรีรัมย์,60,82.4,12,14.3,9,123.59,5048,267340.24
มหาสารคาม,51,65.6,6,19.6,3,6.5,3442,12712.41361
มุกดาหาร,19,26.35,4,7,0,0,1741,13646.52128
ยโสธร,21,27.4,8,11.3,1,10,1863,8893.362664
ร้อยเอ็ด,45,58.503,8,13,3,3.05,4335,22991.17358
เลย,15,20.2,15,9.8,4,12.8,2415,9450.892873
ศรีสะเกษ,35,76.3,3,5,3,5.123385,3601,15563.22253
สกลนคร,29,42.5,15,16.05,6,16,3716,14240.2995
สุรินทร์,31,44.75,7,9.8,6,62.3,4260,23147.02083
หนองคาย,26,38.7,6,11.05,2,7.5,2557,10296.6798
หนองบัวลำภู,12,18.9,2,1.5,2,6,1514,14005.61796
อำนาจเจริญ,12,19.1,1,1,1,3,1223,3754.187702
อุดรธานี,87,143.47,29,35.1,8,38.6,8442,45982.08137
อุบลราชธานี,70,114.2,10,14,9,26.2,7637,54098.35177
