province,month,type,p_esta,m_esta
กรุงเทพมหานคร,มกราคม,S,2691,5611.41201
กรุงเทพมหานคร,มกราคม,M,18,1990.0
กรุงเทพมหานคร,มกราคม,L,2,2510.0
กรุงเทพมหานคร,กุมภาพันธ์,S,2176,4420.711488
กรุงเทพมหานคร,กุมภาพันธ์,M,7,890.0
กรุงเทพมหานคร,กุมภาพันธ์,L,1,470.0
กรุงเทพมหานคร,มีนาคม,S,2221,4394.4531
กรุงเทพมหานคร,มีนาคม,M,15,1755.0
กรุงเทพมหานคร,มีนาคม,L,3,15979.47284
กรุงเทพมหานคร,เมษายน,S,1889,3674.29331
กรุงเทพมหานคร,เมษายน,M,11,2054.0
กรุงเทพมหานคร,เมษายน,L,1,14939.837683
กรุงเทพมหานคร,พฤษภาคม,S,2010,3929.515693
กรุงเทพมหานคร,พฤษภาคม,M,7,974.055655
กรุงเทพมหานคร,พฤษภาคม,L,3,2130.8553
กรุงเทพมหานคร,มิถุนายน,S,2122,4192.73252
กรุงเทพมหานคร,มิถุนายน,M,4,557.0001
กรุงเทพมหานคร,มิถุนายน,L,1,2600.0
กรุงเทพมหานคร,กรกฎาคม,S,2373,4261.7468
กรุงเทพมหานคร,กรกฎาคม,M,15,2156.33
กรุงเทพมหานคร,กรกฎาคม,L,2,1488.0
กรุงเทพมหานคร,สิงหาคม,S,2456,4389.338663
กรุงเทพมหานคร,สิงหาคม,M,6,759.0
กรุงเทพมหานคร,สิงหาคม,L,5,7246.03
กรุงเทพมหานคร,กันยายน,S,2416,4445.04056
กรุงเทพมหานคร,กันยายน,M,13,1523.15822
กรุงเทพมหานคร,กันยายน,L,3,2310.0
กรุงเทพมหานคร,ตุลาคม,S,2130,4169.229395
กรุงเทพมหานคร,ตุลาคม,M,8,1036.7784
กรุงเทพมหานคร,ตุลาคม,L,2,5640.0
กรุงเทพมหานคร,พฤศจิกายน,S,1613,3846.136874
กรุงเทพมหานคร,พฤศจิกายน,M,7,1127.4
กรุงเทพมหานคร,พฤศจิกายน,L,2,980.0
กรุงเทพมหานคร,ธันวาคม,S,1489,3427.626729
กรุงเทพมหานคร,ธันวาคม,M,6,624.61676
กรุงเทพมหานคร,ธันวาคม,L,3,1940.048
ชัยนาท,มกราคม,S,7,15.6
ชัยนาท,มกราคม,M,0,0.0
ชัยนาท,มกราคม,L,0,0.0
ชัยนาท,กุมภาพันธ์,S,14,21.1
ชัยนาท,กุมภาพันธ์,M,0,0.0
ชัยนาท,กุมภาพันธ์,L,0,0.0
ชัยนาท,มีนาคม,S,12,16.95
ชัยนาท,มีนาคม,M,0,0.0
ชัยนาท,มีนาคม,L,0,0.0
ชัยนาท,เมษายน,S,9,10.87
ชัยนาท,เมษายน,M,0,0.0
ชัยนาท,เมษายน,L,0,0.0
ชัยนาท,พฤษภาคม,S,17,15.42
ชัยนาท,พฤษภาคม,M,0,0.0
ชัยนาท,พฤษภาคม,L,0,0.0
ชัยนาท,มิถุนายน,S,11,13.8
ชัยนาท,มิถุนายน,M,0,0.0
ชัยนาท,มิถุนายน,L,0,0.0
ชัยนาท,กรกฎาคม,S,21,32.6
ชัยนาท,กรกฎาคม,M,0,0.0
ชัยนาท,กรกฎาคม,L,0,0.0
ชัยนาท,สิงหาคม,S,12,16.0
ชัยนาท,สิงหาคม,M,0,0.0
