type,jan_regis,feb_regis,mar_regis,apr_regis,total_regis,jan_m,feb_m,mar_m,apr_m,total_m
การผลิตอิฐ,1,1,0,0,2,5,1,0,0,6
การผลิตกระเบื้องปูพื้นและแผ่นเซรามิก,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องสุขภัณฑ์เซรามิก,0,0,0,0,0,0,0,0,0,0
การผลิตวัสดุที่ใช้ในการก่อสร้างอื่น ๆ ที่ทำจากดินเหนียวซึ่งมิได้ จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์เซรามิกที่เป็นเครื่องใช้บนโต๊ะอาหาร,3,1,0,1,5,3.2,1,0,1.5,5.7
การผลิตผลิตภัณฑ์ประติมากรรมและของตกแต่งที่ทำจากเซรามิก,1,2,0,0,3,1,2,0,0,3
การผลิตลูกถ้วยฉนวนไฟฟ้าและอุปกรณ์ประกอบลูกถ้วยฉนวนไฟฟ้าที่ทำจากเซรามิก,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์เครื่องเคลือบปอร์ซเลนและเซรามิกชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,1,1,1,3,0,4,2,0.2,6.2
การผลิตปูนซีเมนต์,1,1,0,1,3,1,1,0,5,7
การผลิตปูนไลม์ (ปูนขาว) และปูนปลาสเตอร์,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์คอนกรีตเพื่อใช้ในงานก่อสร้าง,5,2,3,3,13,9,1.5,8,6.3,24.8
การผลิตผลิตภัณฑ์ปูนปลาสเตอร์ที่ใช้ในงานก่อสร้าง,0,0,0,0,0,0,0,0,0,0
การผลิตคอนกรีตผสมเสร็จ,4,2,5,1,12,11.1,2,15,1,29.1
การผลิตผลิตภัณฑ์ไฟเบอร์ซีเมนต์,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อื่น ๆ ที่ทำจากคอนกรีตซีเมนต์และ ปูนปลาสเตอร์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,2,1,0,6,6,2,1,0,9
การตัดการขึ้นรูปและการแต่งสำเร็จหิน,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์หินที่ใช้ในการก่อสร้าง,1,1,1,0,3,5,0.5,1,0,6.5
การผลิตผลิตภัณฑ์อื่น ๆ ที่ทำจากหินซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,3,0,4,1,0,6.1,0,7.1
การผลิตผลิตภัณฑ์ขัดถู,0,0,0,1,1,0,0,0,2,2
การผลิตวัสดุที่เป็นฉนวนจากแร่,0,0,0,1,1,0,0,0,2,2
การผลิตผลิตภัณฑ์อื่นๆที่ทำจากแร่อโลหะซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐาน,0,0,0,0,0,0,0,0,0,0
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐานขั้นต้นและขั้นกลาง,2,2,1,0,5,7,5,1,0,13
การผลิตเหล็กและเหล็กกล้าแผ่น,0,2,0,0,2,0,2,0,0,2
การผลิตหลอดท่อฮอลโลว์โฟรไฟล์และอุปกรณ์ติดตั้งที่เกี่ยวข้องที่ทำจากเหล็กกล้า,0,3,0,1,4,0,3,0,1,4
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐานอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,3,1,2,9,7,12,1,1.5,21.5
การผลิตโลหะมีค่าและโลหะอื่นที่ไม่ไช่เหล็กขั้นมูลฐาน,0,0,0,0,0,0,0,0,0,0
การผลิตโลหะมีค่า,0,1,3,1,5,0,5,11,1,17
การผลิตอะลูมิเนียมและผลิตภัณฑ์อะลูมิเนียม,1,1,1,0,3,0.2,1,0.3,0,1.5
การผลิตสังกะสีตะกั่วดีบุกและผลิตภัณฑ์ของของดังกล่าว,0,0,0,1,1,0,0,0,1,1
การผลิตทองแดงและผลิตภัณฑ์ทองแดง,1,0,1,1,3,1,0,1,2,4
การผลิตโลหะสามัญและผลิตภัณฑ์โลหะสามัญอื่น ๆ ที่มิใช่เหล็ก,1,1,1,0,3,2,1,420,0,423
การหล่อโลหะ,0,0,0,0,0,0,0,0,0,0
การหล่อเหล็ก,1,1,0,0,2,5,5,0,0,10
การหล่อเหล็กกล้า,0,1,0,0,1,0,2,0,0,2
การหล่อโลหะที่ไม่ใช่เหล็กและเหล็กกล้า,2,5,3,2,12,1.2,8.5,8,2.3,20
การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะ,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะสำหรับใช้ในงานก่อสร้าง,5,2,5,3,15,8.5,7,8.5,5,29
การผลิตโลหะที่เป็นโครงสร้างของการก่อสร้างอาคาร,1,0,1,0,2,5,0,2,0,7
การผลิตประตู หน้าต่าง กรอบประตู หน้าต่าง ประตูใหญ่ และ ผลิตภัณฑ์ที่คล้ายกันที่ทำจากโลหะ,3,2,5,2,12,6,1,12.5,2,21.5
การผลิตผลิตภัณฑ์อื่นๆ ที่มีโครงสร้างเป็นโลหะ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,3,4,3,10,0,12,8,8,28
การผลิตถังน้ำขนาดใหญ่(ที่มีความจุเกิน 300 ลิตร) ที่เก็บกักน้ำและภาชนะบรรจุที่ทำ จากโลหะ,0,0,0,0,0,0,0,0,0,0
การผลิตหม้อน้ำสำหรับการทำความร้อนจากส่วนกลางและเครื่องระบายความร้อน,0,0,0,0,0,0,0,0,0,0
การผลิตภาชนะบรรจุสิ่งของที่ทำจากโลหะ เพื่อเก็บก๊าซอัดหรือ ก๊าซเหลว,0,0,2,0,2,0,0,5.2,0,5.2
การผลิตถังน้ำขนาดใหญ่ (ที่มีความจุเกิน 300 ลิตร) ที่เก็บกักน้ำและภาชนะบรรจุที่ทำ จากโลหะ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องกำเนิดไอน้ำยกเว้นหม้อต้มน้ำร้อนสำหรับ ทำความร้อนจากส่วนกลาง,0,0,0,0,0,0,0,0,0,0
การผลิตกระสุนและวัตถุระเบิด,0,0,0,0,0,0,0,0,0,0
การผลิตอาวุธหนัก อาวุธปืน รวมถึงอาวุธอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,1,0,1,0,0,10,0,10
การผลิตผลิตภัณฑ์โลหะโดยวิธีการตี การอัด การตอกพิมพ์และ การรีด การผสมโลหะผง,1,0,1,1,3,1,0,5,1,7
การปรับสภาพและการเคลือบโลหะ การกัดกลึงขึ้นรูป,0,0,0,0,0,0,0,0,0,0
การตกแต่งและการเคลือบโลหะ,7,3,7,3,20,134.3,2.5,11.5,3,151.3
การกลึงกัดไสโลหะ,22,20,17,9,68,27.31,37,30.8,14,109.11
การผลิตเครื่องตัด,0,0,0,0,0,0,0,0,0,0
การผลิตกุญแจและบานพับ,1,0,0,1,2,0.5,0,0,1,1.5
การผลิตเครื่องมือที่ใช้งานด้วยมือและเครื่องโลหะทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,0,1,0,3,5,0,5,0,10
การผลิตถัง กระป๋องถังกลมขนาดใหญ่ (ที่มีความจุไม่เกิน 300 ลิตร) และภาชนะบรรจุที่คล้ายกันที่ทำจากโลหะ,0,0,0,0,0,0,0,0,0,0
การผลิตถังถังกลมขนาดใหญ่ (ที่มีความจุไม่เกิน 300 ลิตร) และภาชนะบรรจุที่คล้ายกันที่ทำจากโลหะ,0,0,0,0,0,0,0,0,0,0
การผลิตกระป๋องโลหะและบรรจุภัณฑ์อื่นๆที่ทำจากโลหะซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตของที่ทำจากลวด โซ่ ลวดสปริง สลักเกลียว และ ตะปูควง,0,0,0,0,0,0,0,0,0,0
การผลิตลวด เคเบิลและของที่ทำจากลวด,1,0,0,0,1,26,0,0,0,26
การผลิตโซ่ ลวดสปริง สลักเกลียว และตะปูควง,2,1,0,2,5,2,5,0,7.5,14.5
การผลิตเครื่องสุขภัณฑ์ที่ทำจากโลหะ,0,1,0,0,1,0,2,0,0,2
การผลิตเครื่องใช้ในครัวเรือนที่ทำจากโลหะ,0,1,1,1,3,0,1,0.6,2,3.6
การผลิตตู้นิรภัยและเครื่องใช้สำนักงานที่ทำจากโลหะ (ยกเว้น เฟอร์นิเจอร์),0,0,1,1,2,0,0,1,2,3
การผลิตผลิตภัณฑ์โลหะประดิษฐ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,4,4,7,3,18,22,3,14.5,160.35,199.85
การผลิตชิ้นส่วนอุปกรณ์แสดงภาพ,0,0,0,1,1,0,0,0,1,1
การผลิตตัวเก็บประจุและตัวต้านทานสำหรับวงจรอิเล็กทรอนิกส์,0,0,1,0,1,0,0,5,0,5
การผลิตแผ่นวงจรอิเล็กทรอนิกส์,3,0,1,1,5,8.00002,0,0.1,5,13.10002
การผลิตอุปกรณ์กึ่งตัวนำและวงจรรวม,0,0,1,1,2,0,0,1,4,5
การผลิตส่วนประกอบอิเล็กทรอนิกส์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,7,6,9,4,26,90,14.6,54.3,660.2739,819.1739
การผลิตคอมพิวเตอร์และ/หรือการประกอบคอมพิวเตอร์,0,0,1,2,3,0,0,1,2,3
การผลิตอุปกรณ์จัดเก็บข้อมูล,0,0,0,0,0,0,0,0,0,0
การผลิตจอคอมพิวเตอร์,0,0,0,0,0,0,0,0,0,0
การผลิตอุปกรณ์ต่อพ่วงอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,0,0,1,5,0,0,0,5
การผลิตเครื่องมือสื่อสาร,0,0,0,0,0,0,0,0,0,0
การผลิตโทรศัพท์และโทรสารแบบใช้สาย,0,0,0,0,0,0,0,0,0,0
การผลิตอุปกรณ์สื่อสารแบบไร้สาย,0,0,0,1,1,0,0,0,1,1
การผลิตอุปกรณ์สื่อสารข้อมูลที่ใช้ในการส่งสัญญาณอิเล็กทรอนิกส์ไปตามสายหรือออกอากาศ,0,1,1,0,2,0,1,1,0,2
การผลิตอุปกรณ์สื่อสารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,1,2,3,0,0,2,6,8
การผลิตเครื่องรับโทรทัศน์,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องรับวิทยุเครื่องบันทึกและทำสำเนาเสียงและภาพ,0,0,0,0,0,0,0,0,0,0
การผลิตไมโครโฟนลำโพงและเครื่องขยายเสียง,0,2,3,3,8,0,5,2.5,13,20.5
การผลิตเครื่องใช้อิเล็กทรอนิกส์อื่นๆชนิดใช้ในครัวเรือน ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องมือที่ใช้ในการวัดการทดสอบการนำร่องและอุปกรณ์การควบคุม (ยกเว้น ในทางอุตสาหกรรม),0,0,0,1,1,0,0,0,5,5
การผลิตเครื่องมือใช้ในการวัด การทดสอบ และการควบคุมกระบวนการผลิตในทางอุตสาหกรรม,2,1,1,1,5,4,1,1,1,7
การผลิตนาฬิกา,0,1,0,0,1,0,2,0,0,2
การผลิตผลิตภัณฑ์อื่นๆที่มีเครื่องนาฬิกาประกอบอยู่,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องฉายรังสี และเครื่องมืออิเล็กทรอนิกส์ทางการแพทย์และทางการบำบัดรักษา,0,0,0,0,0,0,0,0,0,0
การผลิตเลนส์,0,0,1,0,1,0,0,0.01,0,0.01
การผลิตเครื่องมือทางทัศนศาสตร์ (ยกเว้น เลนส์),0,1,0,0,1,0,20,0,0,20
การผลิตอุปกรณ์เกี่ยวกับการถ่ายภาพและถ่ายภาพยนตร์,0,1,0,0,1,0,2,0,0,2
การผลิตสื่อแม่เหล็ก และสื่อเชิงแสง,0,0,0,0,0,0,0,0,0,0
การผลิตมอเตอร์ไฟฟ้าและเครื่องกำเนิดไฟฟ้า,1,0,2,0,3,5,0,51,0,56
การผลิตหม้อแปลงไฟฟ้า,1,1,1,1,4,10,1,1,5,17
การผลิตอุปกรณ์ควบคุมและจ่ายไฟฟ้า,2,3,1,3,9,5.5,7,5,7,24.5
การผลิตแบตเตอรี่และหม้อสะสมไฟฟ้า,5,1,4,7,17,8,2,8,61,79
การผลิตสายไฟฟ้าและอุปกรณ์การเดินสายไฟฟ้า,0,0,0,0,0,0,0,0,0,0
การผลิตเคเบิลเส้นใยนำแสง,0,0,0,0,0,0,0,0,0,0
การผลิตสายไฟฟ้าและเคเบิลสำหรับงานไฟฟ้าและอิเล็กทรอนิกส์ อื่นๆ,1,0,1,4,6,10,0,1,19,30
การผลิตอุปกรณ์การเดินสายไฟฟ้า,1,0,0,1,2,5,0,0,4,9
การผลิตหลอดไฟฟ้า,1,0,0,0,1,1,0,0,0,1
การผลิตอุปกรณ์ไฟฟ้าอื่นๆสำหรับให้แสงสว่าง,0,2,2,2,6,0,2,5.5,10,17.5
การผลิตเครื่องใช้ไฟฟ้าชนิดใช้ในครัวเรือน (ยกเว้นประเภทผลิต ความร้อนด้วยไฟฟ้า),2,2,2,4,10,5.5,4,805,14,828.5
การผลิตเครื่องใช้ในครัวเรือนประเภทผลิตความร้อนด้วยไฟฟ้า,1,0,0,0,1,20,0,0,0,20
การผลิตเครื่องใช้ในครัวเรือนประเภทผลิตความร้อนที่ไม่ต้องใช้ไฟฟ้า,1,0,0,0,1,5,0,0,0,5
การผลิตเครื่องใช้ไฟฟ้าชนิดอื่นๆ,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจ่ายไฟฟ้าต่อเนื่อง,0,0,0,0,0,0,0,0,0,0
การผลิตอุปกรณ์ให้สัญญาณแบบไฟฟ้า,1,0,1,0,2,1,0,5,0,6
การผลิตอุปกรณ์ไฟฟ้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น การผลิตเครื่องจักรและเครื่องมือซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,6,3,7,19,12,9.25,9,38,68.25
การผลิตเครื่องจักรและเครื่องมือ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรที่ใช้งานทั่วไป,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องยนต์และเครื่องกังหันยกเว้นเครื่องยนต์ที่ใช้กับอากาศยานยานยนต์และจักรยานยนต์,1,0,1,0,2,1,0,1,0,2
การผลิตเครื่องสูบของไหล,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องสูบอื่นๆและคอมเพรสเซอร์,1,0,2,1,4,1,0,1.4,150,152.4
การผลิตก๊อกและวาล์วอื่นๆ,0,0,0,0,0,0,0,0,0,0
การผลิตตลับลูกปืนเกียร์และอุปกรณ์ที่ใช้ขับเคลื่อน,2,0,1,0,3,7,0,1,0,8
การผลิตเตาอบเตาหลอมและเตาเผา,1,0,1,0,2,1,0,1,0,2
การผลิตอุปกรณ์ที่ใช้สำหรับยกและขนย้าย,0,0,1,0,1,0,0,0.1,0,0.1
การผลิตเครื่องจักรและเครื่องใช้สำนักงาน (ยกเว้นคอมพิวเตอร์ และอุปกรณ์ต่อพ่วง),0,1,1,0,2,0,30,2,0,32
การผลิตเครื่องมือที่ใช้พลังงานขับเคลื่อน,0,0,1,1,2,0,0,1,2,3
การผลิตเครื่องทำความเย็น,2,1,2,1,6,5.6,5,2,1,13.6
การผลิตเครื่องจักรอื่นๆที่ใช้งานทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น,17,12,15,5,49,37.97,74.7,45.1,4.1,161.87
การผลิตเครื่องจักรที่ใช้ในการเกษตรและการป่าไม้,0,0,0,0,0,0,0,0,0,0
การผลิตรถแทรกเตอร์ที่ใช้ในงานเกษตรและงานป่าไม้,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรอื่นๆที่ใช้ในทางการเกษตรและการป่าไม้ (ยกเว้นแทรกเตอร์ที่ใช้ในทางการเกษตรและงานป่าไม้),2,1,0,1,4,2,5,0,1,8
การผลิตเครื่องจักรที่ใช้ในการขึ้นรูปโลหะและเครื่องมือกล,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรที่ใช้ในการขึ้นรูปโลหะ,3,2,3,3,11,6.3,2,2.5,7,17.8
การผลิตเครื่องมือกลอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,2,0,2,1,5,4.5,0,6,1,11.5
การผลิตเครื่องจักรสำหรับงานโลหะกรรม,6,2,1,0,9,38,2.5,5,0,45.5
การผลิตเครื่องจักรสำหรับการทำเหมืองแร่เหมืองหินและ การก่อสร้าง,0,0,1,0,1,0,0,1,0,1
การผลิตเครื่องจักรที่ใช้ในกระบวนการผลิตอาหารเครื่องดื่มและ ยาสูบ,1,0,3,0,4,0.5,0,3,0,3.5
การผลิตเครื่องจักรที่ใช้ในการเตรียมปั่นทอและถักนิตสิ่งทอ,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรอื่นๆที่ใช้ในการผลิตสิ่งทอเครื่องแต่งกาย และเครื่องหนัง,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรเพื่อใช้ในการผลิตกระดาษและกระดาษแข็ง,0,0,0,1,1,0,0,0,5,5
การผลิตเครื่องจักรเพื่อใช้งานกับยางหรือพลาสติก,0,0,2,0,2,0,0,9,0,9
การผลิตเครื่องจักรเพื่อใช้งานเฉพาะอย่างอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,3,3,4,4,14,5,16,5,12.5,38.5
การผลิตยานยนต์,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องยนต์สำหรับยานยนต์,0,0,0,0,0,0,0,0,0,0
การผลิตรถยนต์ส่วนบุคคล,2,0,2,0,4,3,0,3,0,6
การผลิตรถกระบะ1ตัน,1,0,0,0,1,1,0,0,0,1
การผลิตยานยนต์อื่นๆที่ใช้เพื่อการโดยสาร,0,0,0,0,0,0,0,0,0,0
การผลิตยานยนต์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,3,0,0,4,5,6.1,0,0,11.1
การผลิตตัวถังยานยนต์,2,0,0,1,3,2,0,0,0.5,2.5
การผลิตรถพ่วงและรถกึ่งรถพ่วง,0,0,0,1,1,0,0,0,5,5
การผลิตตู้บรรทุกสินค้า,1,0,2,1,4,1,0,1.5,1,3.5
การผลิตชิ้นส่วน และอุปกรณ์เสริม สำหรับยานยนต์,0,0,0,0,0,0,0,0,0,0
การผลิตที่นั่งภายในยานยนต์,0,1,1,0,2,0,0.2,1,0,1.2
การผลิตอุปกรณ์ไฟฟ้าสำหรับยานยนต์,0,1,0,1,2,0,0.9,0,1,1.9
การผลิตชิ้นส่วนและอุปกรณ์เสริมอื่นๆสำหรับยานยนต์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,7,6,5,23,10,24,14.1,18,66.1
การต่อเรือใหญ่ และสิ่งก่อสร้างลอยน้ำ,1,0,3,0,4,1,0,5.1,0,6.1
การต่อเรือที่ใช้เพื่อความสำราญและการกีฬา,0,1,0,0,1,0,1,0,0,1
การผลิตหัวรถจักรและตู้สำหรับขนส่งทางรถไฟหรือรถราง,0,1,0,0,1,0,5,0,0,5
การผลิตอากาศยานยานอวกาศและเครื่องจักรที่เกี่ยวข้อง,1,2,1,3,7,5,2,2,23,32
การผลิตยานยนต์ทางการทหารเพื่อใช้ในการสู้รบ,0,1,0,1,2,0,1,0,1,2
การผลิตอุปกรณ์ขนส่งซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตจักรยานยนต์,0,2,1,0,3,0,10,1,0,11
การผลิตเครื่องยนต์ ชิ้นส่วนและอุปกรณ์เสริมสำหรับจักรยานยนต์,0,1,0,0,1,0,1,0,0,1
การผลิตจักรยาน,0,0,1,1,2,0,0,1,4,5
การผลิตรถสำหรับคนพิการ,0,0,0,0,0,0,0,0,0,0
การผลิตอุปกรณ์การขนส่งอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตเฟอร์นิเจอร์,0,0,0,0,0,0,0,0,0,0
การผลิตเฟอร์นิเจอร์ไม้,9,11,6,7,33,12.5,16.15,8.51,45.75,82.91
การผลิตเฟอร์นิเจอร์โลหะ,1,2,1,0,4,2,181,5,0,188
การผลิตฐานรองที่นอนและที่นอน,1,2,0,0,3,1,2,0,0,3
การผลิตเฟอร์นิเจอร์ที่ทำจากวัสดุอื่นๆ (ยกเว้น หิน คอนกรีต หรือเซรามิก),7,10,6,7,30,6.8,14.5,11,16.05,48.35
การผลิตเครื่องประดับอัญมณีเครื่องประดับเพชรพลอยและ สิ่งของอื่นๆที่เกี่ยวข้อง,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องประดับอัญมณีและสิ่งของอื่นๆที่เกี่ยวข้อง,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องประดับจากอัญมณีและโลหะมีค่า,3,10,15,7,35,2.1,126.2,29.1,7.6,165
การผลิตสิ่งของเครื่องใช้จากเพชรพลอยและโลหะมีค่า,2,0,0,1,3,2.05,0,0,1,3.05
การเจียระไนและการขัดเพชรพลอย,0,1,1,0,2,0,1,1,0,2
การผลิตเครื่องประดับ ที่ทำจากอัญมณีเทียมและสิ่งของที่เกี่ยวข้อง,0,3,0,1,4,0,9,0,5,14
การผลิตเครื่องดนตรี,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องดนตรีไทย,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องดนตรี ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,1,0,1,0,0,5,0,5
การผลิตเครื่องกีฬา,0,0,0,0,0,0,0,0,0,0
การผลิตลูกบอลที่ใช้ในการกีฬา,0,0,0,0,0,0,0,0,0,0
การผลิตกระดานแล่นใบและกระดานโต้คลื่นและอุปกรณ์สำหรับเล่นกีฬาทางน้ำ,0,0,0,0,0,0,0,0,0,0
การผลิตอุปกรณ์สำหรับกีฬาตกปลา,1,3,2,1,7,0.6,1.61,1.2,1,4.41
การผลิตอุปกรณ์กีฬาอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,1,1,3,1,0,0.5,1,2.5
การผลิตของเล่นที่มีล้อ,0,0,0,0,0,0,0,0,0,0
การผลิตตุ๊กตา,0,0,0,0,0,0,0,0,0,0
การผลิตเกมและของเล่นอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,1,2,1,5,30,1,2,0.01,33.01
การผลิตเครื่องมือและอุปกรณ์ทางการแพทย์และทางทันตกรรม,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องมือและอุปกรณ์ในทางการแพทย์ (ยกเว้นทางทันตกรรม),3,1,5,7,16,7,1,12.01,25.9,45.91
การผลิตเครื่องมือและอุปกรณ์ในทางทันตกรรม,1,1,2,1,5,2,1,0.6,1,4.6
การผลิตผลิตภัณฑ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตไม้กวาดและแปรง,1,0,0,0,1,0.2,0,0,0,0.2
การผลิตอุปกรณ์เครื่องเขียน,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องอุปกรณ์ด้านความปลอดภัย,0,2,1,1,4,0,2,1,1,4
การผลิตดอกไม้และต้นไม้ประดิษฐ์,2,4,4,1,11,0.6,3.5,3.4,2,9.5
การผลิตผลิตภัณฑ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,7,7,9,28,6.5,5.2,14.8,17,43.5
การซ่อมและการติดตั้งเครื่องจักรและอุปกรณ์,0,0,0,0,0,0,0,0,0,0
การซ่อมผลิตภัณฑ์โลหะประดิษฐ์,0,0,0,0,0,0,0,0,0,0
การซ่อมเครื่องจักร,0,0,0,0,0,0,0,0,0,0
การซ่อมเครื่องจักรที่ใช้งานทั่วไป,25,15,13,9,62,42.1,70.6,18.1,9.6,140.4
การซ่อมเครื่องจักรที่ใช้งานเฉพาะอย่าง,2,4,3,3,12,2,3.5,3.5,3,12
การซ่อมอุปกรณ์อิเล็กทรอนิกส์และอุปกรณ์ทางทัศนศาสตร์,0,0,0,0,0,0,0,0,0,0
การซ่อมและบำรุงรักษาเครื่องมือที่ใช้ในการวัดการทดสอบการนำร่องและอุปกรณ์การควบคุม,1,2,0,1,4,0.5,1.5,0,1,3
การซ่อมและบำรุงรักษาเครื่องฉายรังสีและเครื่องมืออิเล็กทรอนิกส์ทางการแพทย์และทางการบำบัดรักษา,1,0,0,2,3,1,0,0,2,3
การซ่อมและบำรุงรักษาเครื่องมือทางทัศนศาสตร์และอุปกรณ์ทางถ่ายภาพ,0,0,0,0,0,0,0,0,0,0
การซ่อมอุปกรณ์ไฟฟ้า,0,0,0,0,0,0,0,0,0,0
การซ่อมมอเตอร์ไฟฟ้าเครื่องกำเนิดไฟฟ้าหม้อแปลงไฟฟ้าและอุปกรณ์ควบคุมและจ่ายไฟฟ้า,3,8,3,6,20,2.5,10.7,10,10,33.2
การซ่อมแบตเตอรี่และหม้อสะสมไฟฟ้า,0,1,1,0,2,0,2,1,0,3
การซ่อมอุปกรณ์ไฟฟ้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,4,3,5,17,4.3,8,2.5,2.73,17.53
การซ่อมเรือ,4,2,3,1,10,4,3.5,5,1,13.5
การซ่อมอากาศยาน,1,1,0,0,2,2,1,0,0,3
การซ่อมอุปกรณ์ขนส่งอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น (ยกเว้น ยานยนต์),1,0,0,0,1,1,0,0,0,1
การซ่อมอุปกรณ์อื่นๆ,0,1,1,1,3,0,1,1,1,3
การติดตั้งเครื่องจักรอุตสาหกรรมและอุปกรณ์,25,19,28,15,87,49.5,30.9,42.5,20.5,143.4
ไฟฟ้าก๊าซไอน้ำและระบบการปรับอากาศ,0,0,0,0,0,0,0,0,0,0
การผลิต การส่งและการจ่ายกระแสไฟฟ้า,0,0,0,0,0,0,0,0,0,0
การผลิตและการส่งไฟฟ้า,73,57,37,19,186,4379,348.3104,158.4,104.1,4989.8104
การจ่ายไฟฟ้า,4,4,3,16,27,9,5,7,37.2,58.2
การผลิตก๊าซ,0,1,0,1,2,0,1,0,50,51
การจ่ายเชื้อเพลิงก๊าซผ่านท่อหลัก,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำแข็งชนิดไม่ใช้เพื่อการบริโภค,0,0,1,1,2,0,0,0.5,0.5,1
การจัดหาไอน้ำและระบบการปรับอากาศ (ยกเว้นการผลิตน้ำแข็ง ชนิดไม่ใช้เพื่อการบริโภค),0,3,1,0,4,0,2.5,5,0,7.5
การเก็บกักน้ำ,0,0,0,0,0,0,0,0,0,0
การจัดหาน้ำและการจ่ายน้ำสำหรับใช้ในครัวเรือนและอุตสาหกรรม ผ่านระบบประปา,1,3,2,1,7,1,3,6.5,5,15.5
การจัดหาน้ำและการจ่ายน้ำสำหรับใช้ในการเกษตร,0,0,0,0,0,0,0,0,0,0
การจัดหาและการจ่ายน้ำอื่นๆซื่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การจัดการน้ำเสีย,3,4,3,2,12,2.1,12,3,1.1,18.2
การเก็บรวบรวมของเสียที่ไม่เป็นอันตราย,2,4,1,0,7,2,6,0.005,0,8.005
