province,month,objective,p_esta,m_esta
นครปฐม,เมษายน,ผลิต,8,9.85
นครปฐม,เมษายน,บริการ,36,42.056
นครปฐม,พฤษภาคม,ขายส่ง/ขายปลีก,33,65.5
นครปฐม,พฤษภาคม,ผลิต,17,35.55
นครปฐม,พฤษภาคม,บริการ,41,57.026498
นครปฐม,มิถุนายน,ขายส่ง/ขายปลีก,46,56.9
นครปฐม,มิถุนายน,ผลิต,10,9.8
นครปฐม,มิถุนายน,บริการ,44,62.851
นครปฐม,กรกฎาคม,ขายส่ง/ขายปลีก,48,68.7
นครปฐม,กรกฎาคม,ผลิต,13,18.2
นครปฐม,กรกฎาคม,บริการ,38,51.61
นครปฐม,สิงหาคม,ขายส่ง/ขายปลีก,62,107.13
นครปฐม,สิงหาคม,ผลิต,12,19.5
นครปฐม,สิงหาคม,บริการ,33,33.47
นครปฐม,กันยายน,ขายส่ง/ขายปลีก,71,107.71
นครปฐม,กันยายน,ผลิต,7,17.5
นครปฐม,กันยายน,บริการ,51,148.241
นครปฐม,ตุลาคม,ขายส่ง/ขายปลีก,55,69.01
นครปฐม,ตุลาคม,ผลิต,15,33.5
นครปฐม,ตุลาคม,บริการ,50,57.505
นครปฐม,พฤศจิกายน,ขายส่ง/ขายปลีก,41,50.25
นครปฐม,พฤศจิกายน,ผลิต,7,11.5
นครปฐม,พฤศจิกายน,บริการ,38,263.1
นครปฐม,ธันวาคม,ขายส่ง/ขายปลีก,22,37.9
นครปฐม,ธันวาคม,ผลิต,7,9.9
นครปฐม,ธันวาคม,บริการ,84,52.805
นนทบุรี,มกราคม,ขายส่ง/ขายปลีก,162,221.86
นนทบุรี,มกราคม,ผลิต,44,54.8
นนทบุรี,มกราคม,บริการ,245,520.38
นนทบุรี,กุมภาพันธ์,ขายส่ง/ขายปลีก,151,221.2377
นนทบุรี,กุมภาพันธ์,ผลิต,44,59.645
นนทบุรี,กุมภาพันธ์,บริการ,223,302.02
นนทบุรี,มีนาคม,ขายส่ง/ขายปลีก,140,223.15
นนทบุรี,มีนาคม,ผลิต,36,248.45
