type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การผลิตผลไม้และผักแช่แข็ง,142,20,4,166,1418.05,880.4,735.145725,3033.595725
การผลิตผลไม้และผักบรรจุกระป๋อง,64,24,24,112,1094.0176,3420.90901,5503.819155,10018.74577
การผลิตน้ำผลไม้และน้ำผัก,295,19,13,327,2803.09,1726.167,4563.73668,9092.99368
การถนอมผลไม้หรือผักโดยการทำเค็มการอบแห้งการแช่ ในน้ำมันหรือในน้ำส้มสายชู,135,21,5,161,3076.3989,1554,1594,6224.3989
การผลิตแยมแยมผิวส้มและเยลลี,17,1,0,18,88.4,5,0,93.4
การแปรรูปและการถนอมมันฝรั่ง,8,0,1,9,27.6,0,123.4,151
การผลิตผลิตภัณฑ์จากถั่วเปลือกแข็ง,48,4,2,54,359.4,125,260,744.4
การแปรรูปและการถนอมผลไม้และผักด้วยวิธีอื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,991,58,8,1057,6142.6716,2711.22,2152.6,11006.4916
การผลิตน้ำมันและไขมันจากพืชและสัตว์,0,0,0,0,0,0,0,0
การผลิตน้ำมันถั่วเหลือง,4,0,0,4,129,0,0,129
การผลิตน้ำมันรำข้าว,7,1,4,12,450.0392,34,929.8,1413.8392
การผลิตน้ำมันข้าวโพด,0,0,0,0,0,0,0,0
การผลิตน้ำมันมะพร้าว,43,3,3,49,421.134,128,127.15,676.284
การผลิตน้ำมันพืชชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,107,8,13,128,1463.756989,480,4954.672,6898.428989
การผลิตน้ำมันปาล์ม,114,28,67,209,4708.1464,2444.5,18417.91335,25570.55975
การผลิตน้ำมันและไขมันจากสัตว์,19,3,2,24,158.8104,929.99998,340,1428.81038
การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากน้ำมันพืชซึ่งมิได้จัด ประเภทไว้ในที่อื่น,23,1,2,26,838.7025,3,338,1179.7025
การผลิตน้ำนมสด (ยกเว้นน้ำนมดิบ),40,9,11,60,238.3,158.2308,2964.6,3361.1308
การผลิตผลิตภัณฑ์นมข้นหรือนมผง,15,1,5,21,840.95,1,2170,3011.95
การผลิตไอศกรีมและไอศกรีมหวานเย็น,221,11,5,237,743.54,542.6,3801.5607,5087.7007
การผลิตโยเกิร์ตและนมเปรี้ยว,19,2,4,25,36.5,97.125,1155,1288.625
การผลิตเนย,23,3,0,26,66.2,91,0,157.2
การผลิตผลิตภัณฑ์นมอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,38,7,4,49,166.599,296.4,1480,1942.999
การสีข้าว,573,226,181,980,10175.0865,9218.650555,24474.75935,43868.49641
การผลิตแป้งจากข้าว,14,5,4,23,193.264,298,925,1416.264
การผลิตแป้งสาลี,10,0,12,22,748.71,0,4999.965,5748.675
การผลิตแป้งข้าวโพด,4,2,1,7,26.5,85,60,171.5
การผลิตแป้งจากเมล็ดธัญพืชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,22,2,3,27,217.6,156,589,962.6
การผลิตแป้งผสมหรือแป้งสำเร็จรูปสำหรับใช้ทำขนมปังและ ประกอบอาหารอื่น ๆ,104,10,8,122,592.932,871.748,2784,4248.68
การผลิตน้ำธัญพืช,27,0,2,29,98.3335,0,657,755.3335
การผลิตผลิตภัณฑ์อื่น ๆ จากเมล็ดธัญพืชซึ่งมิได้จัด ประเภทไว้ในที่อื่น,747,24,8,779,2764.2914,628.26,2172.944,5565.4954
การผลิตมันเส้นและมันอัดเม็ด,64,11,3,78,858.318,277.3,1524.223016,2659.841016
การผลิตสตาร์ชมันสำปะหลัง,76,26,70,172,9035.4388,3672.8,28651.00483,41359.24363
การผลิตสตาร์ชจากข้าวโพดธัญพืชและพืชผักอื่น ๆ (ยกเว้นมันสำปะหลัง),4,3,0,7,15,14,0,29
การผลิตผลิตภัณฑ์จากสตาร์ชอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,25,4,7,36,151.5,980,1812,2943.5
การผลิตผลิตภัณฑ์อาหารอื่นๆ,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ขนมอบ,0,0,0,0,0,0,0,0
การผลิตขนมปังเค้กและเพสตรี,853,45,12,910,2452.71354,1680.7076,3261,7394.42114
การผลิตขนมปังกรอบและผลิตภัณฑ์ขนมอบกรอบอื่น ๆ,146,6,6,158,512.2,210,5833.56,6555.76
การผลิตขนมไทยประเภทอบ,51,3,0,54,68.4,111,0,179.4
การผลิตน้ำตาล,0,0,0,0,0,0,0,0
การผลิตน้ำตาลดิบจากอ้อย,25,2,6,33,2125.5,760,4120.6,7006.1
การผลิตน้ำตาลบริสุทธิ์,61,10,48,119,5508.373875,2422.7423,55406.66781,63337.78399
การผลิตน้ำตาลจากพืช (ยกเว้นอ้อย),31,2,1,34,219.45,14.28638,550,783.73638
การผลิตโกโก้และผลิตภัณฑ์จากโกโก้,42,1,1,44,252.94963,30,3.2,286.14963
การผลิตผลิตภัณฑ์ช็อกโกแลตและขนมหวานจากช็อกโกแลต,40,3,3,46,448.2,5,210.211,663.411
การผลิตหมากฝรั่ง,1,0,0,1,70,0,0,70
การถนอมผลไม้ถั่วเปลือกแข็งเปลือกผลไม้และส่วนอื่นๆของพืชโดยใช้น้ำตาล,5,0,0,5,3.8005,0,0,3.8005
การผลิตลูกกวาดและขนมอื่น ๆ ที่ทำจากน้ำตาลซึ่งมิได้จัดประเภทไว้ในที่อื่น,30,8,5,43,275.8,334,474,1083.8
การผลิตพาสต้า,7,0,1,8,41,0,1315.4,1356.4
การผลิตเส้นก๋วยเตี๋ยว บะหมี่ วุ้นเส้น,174,15,4,193,638.48375,573,426.1,1637.58375
การผลิตผลิตภัณฑ์อาหารจำพวกแป้งชนิดสำเร็จรูปและ กึ่งสำเร็จรูป,32,1,4,37,62.42,273,2801.978914,3137.398914
การผลิตผลิตภัณฑ์อาหารจำพวกแป้งอื่น ๆ ที่คล้ายกันซึ่งมิได้ จัดประเภทไว้ในที่อื่น,55,3,0,58,139.4,189.6,0,329
การผลิตอาหารปรุงสำเร็จ,0,0,0,0,0,0,0,0
การผลิตอาหารปรุงสำเร็จแช่แข็ง,352,25,15,392,4718.3777,2435.82,7162.807174,14317.00487
การผลิตอาหารปรุงสำเร็จบรรจุในภาชนะปิดสนิทโดยวิธีสุญญากาศ,148,10,9,167,1071.855,422,2789.0992,4282.9542
การผลิตกาแฟ ชาและสมุนไพรผงสำหรับชงเป็นเครื่องดื่ม,0,0,0,0,0,0,0,0
การผลิตกาแฟ,429,19,5,453,2559.8999,1803.9965,901,5264.8964
การผลิตชา,81,4,0,85,457.7,308,0,765.7
การผลิตสมุนไพรผงสำหรับชงเป็นเครื่องดื่ม,131,2,0,133,563.8839,122,0,685.8839
การผลิตเครื่องเทศและเครื่องแกงสำเร็จรูป,154,17,4,175,464.9825,435.5,183,1083.4825
การผลิตซอสและเครื่องปรุงอาหารประจำโต๊ะ,263,21,19,303,2353.55,2130.225,3466.1079,7949.8829
การผลิตซีอิ๊ว,35,3,3,41,109.265,241,915.8821885,1266.147189
การผลิตผงชูรส,19,4,3,26,361.4,43,1336.3628,1740.7628
การผลิตเกลือบริโภค,26,0,1,27,297.7,0,120,417.7
การผลิตเครื่องปรุงอาหารประจำโต๊ะและเครื่องประกอบอาหาร อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,101,13,9,123,821.75,1113.9605,7461.170936,9396.881436
การผลิตผลิตภัณฑ์อาหารอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การผลิตขนมขบเคี้ยว/ขนมกรุบกรอบ,221,13,21,255,3697.672,871,6456.6086,11025.2806
การผลิตขนมไทยและขนมพื้นเมือง (ยกเว้นขนมอบ),84,5,0,89,127.548885,113.4383,0,240.987185
การผลิตซุปน้ำซุปและอาหารพิเศษ,37,1,0,38,664.4,140,0,804.4
การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,256,14,5,275,1435.77794,282.85,1389.5,3108.12794
การผลิตน้ำแข็งเพื่อการบริโภค,1389,24,1,1414,9994.568392,1232.2,45,11271.76839
การผลิตผลิตภัณฑ์จากไข่,33,2,0,35,54.4,120,0,174.4
การผลิตผลิตภัณฑ์อาหารอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2252,89,36,2377,15421.31491,8050.102343,5899.1028,29370.52005
การผลิตอาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,0,0,0,0,0,0,0,0
การผลิตอาหารสำเร็จรูปสำหรับสัตว์เลี้ยง,323,26,14,363,2792.48033,807.5,13896.9485,17496.92883
การผลิตอาหารสำเร็จรูปสำหรับเลี้ยงปศุสัตว์ในฟาร์ม,283,39,52,374,2773.2731,1281.46,54116.42686,58171.15996
การผลิตเครื่องดื่ม,0,0,0,0,0,0,0,0
การผลิตสุรากลั่น,603,2,18,623,2875.0826,1001,28340,32216.0826
การผลิตสุราผสม,22,0,0,22,227.6,0,0,227.6
การผลิตสุราผลไม้ (ไวน์),0,0,0,0,0,0,0,0
การผลิตไวน์องุ่น,17,0,0,17,312.5,0,0,312.5
การผลิตไวน์ผลไม้ (ยกเว้นองุ่น),22,0,0,22,32.25,0,0,32.25
การผลิตสุราผลไม้ (ไวน์) ซึ่งมิได้จัดประเภทไว้ที่อื่น,125,1,1,127,262.3609,90,330,682.3609
การผลิตมอลต์และสุราที่ทำจากข้าวมอลต์,65,0,12,77,441.877,0,27222.2185,27664.0955
การผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์การผลิตน้ำแร่และน้ำดื่ม บรรจุขวดประเภทอื่น ๆ,0,0,0,0,0,0,0,0
การผลิตน้ำดื่มบริสุทธิ์และน้ำแร่บรรจุขวด,1639,28,12,1679,8792.4864,1293.5,3147.679,13233.6654
การผลิตน้ำอัดลมและโซดา,23,1,5,29,193.371,30,1918.020664,2141.391664
การผลิตเครื่องดื่มกาแฟ ชาและชาชงสมุนไพรพร้อมดื่ม,401,8,4,413,1231.93,749,4588.17,6569.1
การผลิตเครื่องดื่มให้พลังงานรวมถึงเครื่องดื่มเกลือแร่,51,2,4,57,608.7,799,3753.75,5161.45
